Star Designation;;Stellar Class;Apparent Magnitude;Absolute Magnitude;Right Ascension (J2000);Declination (J2000);Distance (Light Years)
36 Ophiuchi;A;K1Ve;5.07;6.18;17h 15m 20.98s;−26° 36′ 10.2″;19.5
36 Ophiuchi;B;K1Ve;5.11;6.22;17h 15m 20.98s;−26° 36′ 10.2″;19.5
36 Ophiuchi;C;K5Ve;6.33;7.45;17h 16m 13.36s;−26° 32′ 46.1″;19.5
41 G. Arae;A;G8V;5.55;5.83;17h 19m 03.83s;−46° 38′ 10.4″;28.7
61 Cygni;A;K5.0V;5.2;7.49;21h 06m 53.94s;+38° 44′ 57.9″;11.4
61 Cygni;B;K7.0V;6.05;8.33;21h 06m 53.94s;+38° 44′ 57.9″;11.4
61 Ursae Majoris;;G8V;5.31;5.41;11h 41m 03.02s;+34° 12′ 05.9″;31.1
61 Virginis;;G5V;4.74;5.09;13h 18m 24.31s;−18° 18′ 40.3″;27.9
70 Ophiuchi;A;K1Ve;4.24;5.71;18h 05m 27.29s;+02° 30′ 00.4″;16.6
70 Ophiuchi;B;K5Ve;6.01;7.48;18h 05m 27.29s;+02° 30′ 00.4″;16.6
82 G. Eridani;;G8V;4.26;5.35;03h 19m 55.65s;−43° 04′ 11.2″;19.7
Altair (α Aquilae);;A7IV-V;0.76;2.21;19h 50m 47.00s;+08° 52′ 06.0″;16.7
Fomalhaut (α Piscis Austrini/α PsA);A;A3V;1.17;1.74;22h 57m 39.05s;−29° 37′ 20.1″;25.1
Fomalhaut (α Piscis Austrini/α PsA);B;K5Ve;6.48;7.07;22h 56m 24.05s;−31° 33′ 56.0″;24.8
Gliese 105 (in Cetus);A;K3V;5.79;6.5;02h 36m 04.89s;+06° 53′ 12.7″;23.4
Gliese 570 (in Libra);;K5Ve;5.72;6.86;14h 57m 28.00s;−21° 24′ 55.7″;19
Gliese 638 (in Hercules);;K7V;8.1;8.15;16h 45m 06.35s;+33° 30′ 33.2″;31.9
Gliese 667 (in Scorpius);A;K3V;6.29;7.07;17h 18m 57.18s;−34° 59′ 23.3″;23.2
Gliese 667 (in Scorpius);B;K5V;7.24;8.02;17h 18m 57.18s;−34° 59′ 23.3″;23.2
Gliese 673 (in Ophiuchus);;K7V;7.54;8.1;17h 25m 45.23s;+02° 06′ 41.1″;25.1
Gliese 884 (see List of stars in Aquarius);;K5;7.88;8.33;23h 00m 16.12s;−22° 31′ 27.6″;26.6
Groombridge 1618 (in Ursa Major);;K7.0V;6.6;8.16;10h 11m 22.14s;+49° 27′ 15.3″;15.9
Groombridge 1830 (in Ursa Major);;G8Vp;6.42;6.61;11h 52m 58.77s;+37° 43′ 07.2″;29.7
HD 102365 (in Centaurus);A;G3V;4.89;5.06;11h 46m 31.07s;−40° 30′ 01.3″;30.1
HD 192310/Gliese 785 (5 G. Capricorni);;K2+V;5.73;6;20h 15m 7.39s;−27° 01′ 58.7″;29.1
HD 4628 (in Pisces);;K2V;5.74;6.38;00h 48m 22.98s;+05° 16′ 50.2″;24.3
HD 50281 (in Monoceros);A;K3V;6.58;6.88;06h 52m 18.05s;−05° 10′ 25.4″;28.4
HR 1614 (284 G. Eridani);A;K3V;6.22;6.49;05h 00m 49.00s;−05° 45′ 13.2″;28.4
HR 4458 (in Hydra);A;K0V;5.96;6.06;11h 34m 29.49s;−32° 49′ 52.8″;31.2
HR 7703 (in Sagittarius);A;K3V;5.32;6.42;20h 11m 11.94s;−36° 06′ 04.4″;19.6
HR 8832 / Gliese 892 (in Cassiopeia);;K3V;5.57;6.49;23h 13m 16.98s;+57° 10′ 06.1″;21.4
p Eridani;A;K0V;5.82;6.27;01h 39m 47.54s;−56° 11′ 47.0″;25.5
p Eridani;B;K5V;5.95;6.4;01h 39m 47.54s;−56° 11′ 47.0″;25.5
Procyon (α Canis Minoris);A;F5IV-V;0.4;2.68;07h 39m 18.12s;+05° 13′ 30.0″;11.5
Sirius (α Canis Majoris);;A1V;−1.44;1.45;06h 45m 08.92s;−16° 42′ 58.0″;8.6
Sun;;G2V;−26.74;4.8;—;—;0
Vega (α Lyrae);;A0Va;0.03;0.58;18h 36m 56.34s;+38° 47′ 01.3″;25
α Centauri;A;G2V;−0.01 ;4.34;14h 39m 36.50s;−60° 50′ 02.3″;4.37
α Centauri;B;K1V;1.35;5.71;14h 39m 35.08s;−60° 50′ 13.8″;4.37
β Canum Venaticorum;;G0V;4.24;4.63;12h 33m 44.54s;+41° 21′ 26.9″;27.5
β Comae Berenices;;G0V;4.23;4.42;13h 11m 52.39s;+27° 52′ 41.5″;29.8
β Hydri;;G2IV;2.82;3.46;00h 25m 45.07s;−77° 15′ 15.2″;24.3
γ Leporis;A;F7V;3.59;3.83;05h 44m 27.79s;−22° 26′ 54.2″;29.3
γ Leporis;B;K2V;6.17;6.41;05h 44m 27.79s;−22° 26′ 54.2″;29.3
γ Pavonis;;F6V;4.21;4.39;21h 26m 26.61s;−65° 21′ 58.3″;30.2
δ Eridani;;K0IV;3.52;3.74;03h 43m 14.90s;−09° 45′ 48.2″;29.5
δ Pavonis;;G7IV;3.55;4.62;20h 08m 42.61s;−66° 10′ 55.4″;19.9
ε Eridani;;K2V;3.72;6.18;03h 32m 55.84s;−09° 27′ 29.7″;10.5
ε Indi;;K5Ve;4.69;6.9;22h 03m 21.66s;−56° 47′ 09.5″;11.8
ζ Tucanae;;F9V;4.23;4.56;00h 20m 04.26s;−64° 52′ 29.2″;28
η Cassiopeiae;A;G3V;3.46;4.59;00h 49m 06.29s;+57° 48′ 54.7″;19.4
κ1 Ceti;;G5V;4.84;5.03;03h 19m 21.70s;+03° 22′ 12.7″;29.8
μ Cassiopeiae;A;G5VI;5.17;5.78;01h 08m 16.39s;+54° 55′ 13.2″;24.6
μ Herculis;;G5IV;3.42;3.8;17h 46m 27.53s;+27° 43′ 14.4″;27.1
ξ Boötis;A;G8Ve;4.72;5.59;14h 51m 23.38s;+19° 06′ 01.7″;21.9
ξ Boötis;B;K4Ve;6.97;7.84;14h 51m 23.38s;+19° 06′ 01.7″;21.9
ξ Ursae Majoris;A;G0V;4.41;4.25;11h 18m 11s;+31° 31′ 45″;28.8
ξ Ursae Majoris;B;G5V;4.87;5.07;11h 18m 11s;+31° 31′ 45″;28.8
ο2 Eridani;A;K1Ve;4.43;5.92;04h 15m 16.32s;−07° 39′ 10.3″;16.3
π3 Orionis;;F6V;3.19;3.67;04h 49m 50.41s;+06° 57′ 40.6″;26.3
σ Draconis;;G9V;4.67;5.87;19h 32m 21.59s;+69° 39′ 40.2″;18.8
τ Ceti;;G8Vp;3.49;5.68;01h 44m 04.08s;−15° 56′ 14.9″;11.9
χ Draconis;A;F7V;3.68;4.15;18h 21m 03.38s;+72° 43′ 58.2″;26.3
χ Draconis;B;K0V;5.67;6.14;18h 21m 03.38s;+72° 43′ 58.2″;26.3
χ1 Orionis;A;G0V;4.39;4.7;05h 54m 22.98s;+20° 16′ 34.2″;28.3
11 Leonis Minoris;A;G8V;5.4;5.16;09h 35m 39.50s;+35° 48′ 36.5″;36.5
22 G. Fornacis;;G8V;6.33;5.81;02h 18m 58.77s;−25° 56′ 44.5″;41.3
24 G. Virginis;;K0IV;5.54;4.99;12h 00m 44.28s;−10° 26′ 45.7″;42.1
285 G. Puppis;;K0V;5.95;5.45;08h 18m 23.62s;−12° 37′ 55.8″;41
32 G. Eridani;;K1V;6.05;5.97;02h 52m 31.65s;−12° 46′ 11.0″;33.9
36 Ursae Majoris;A;F8V;4.82;4.28;10h 30m 37.66s;+55° 58′ 49.9″;41.9
44 Boötis;A;F9V;5.2;4.67;15h 03m 47.43s;+47° 39′ 14.6″;41.6
44 Boötis;B/C;G2 V;5.97;5.44;15h 03m 47.43s;+47° 39′ 14.6″;41.6
54 Piscium;;K0V;5.88;5.65;00h 39m 21.81s;+21° 15′ 01.7″;36.2
62 G. Scorpii;;G3V;5.37;4.82;16h 24m 01.19s;−39° 11′ 34.7″;42
85 Pegasi;A;G3V;5.81;5.34;00h 02m 10.10s;+27° 04′ 56.1″;40.5
85 Pegasi;B;K6V;8.88;8.41;00h 02m 10.10s;+27° 04′ 56.1″;40.5
86 G. Sagittarii;;G5V;5.85;5.28;18h 38m 53.49s;−21° 03′ 06.7″;42.3
Arcturus (α Boötis);;K1.5III;−0.05;−0.31;14h 15m 39.67s;+19° 10′ 56.7″;36.7
Capella;Aa;G5III;0.76;0.2;05h 16m 41.34s;+45° 59′ 52.8″;42.2
Capella;Ab;G1III;0.91;0.35;05h 16m 41.34s;+45° 59′ 52.8″;42.2
Denebola;;A3Vvar;2.14;1.92;11h 49m 03.58s;+14° 34′ 19.4″;36.2
Gliese 169;;K7V;8.3;8;04h 29m 00.12s;+21° 55′ 21.7″;37.4
Gliese 2046;;K3V;7.17;6.63;05h 54m 04.33s;−60° 01′ 24.5″;41.8
Gliese 320;;K2V;6.58;6.35;08h 43m 18.48s;−38° 52′ 56.6″;36.3
Gliese 349 (es);;K3V;7.2;6.68;09h 29m 54.82s;+05° 39′ 18.5″;42.1
Gliese 370;;K5V;7.67;7.43;09h 51m 06.31s;−43° 30′ 10.0″;36.4
Gliese 428 (it);A;K7V;7.51;6.96;11h 24m 41.24s;−61° 38′ 51.2″;42
Gliese 428 (it);B;M0Ve;8.82;8.27;11h 24m 41.24s;−61° 38′ 51.2″;42
Gliese 435 (es);;K5V;7.77;7.28;11h 41m 03.55s;−44° 24′ 18.7″;40.8
Gliese 453;;K4V;6.99;6.95;11h 57m 57.63s;−27° 42′ 25.4″;33.2
Gliese 505;A;K1V;6.52;6.27;13h 16m 51.05s;+17° 01′ 01.8″;36.1
Gliese 542;;K3V;6.66;6.29;14h 19m 05.88s;−59° 22′ 44.5″;38.6
Gliese 67;A;G1.5V;4.95;4.3;01h 41m 47.1s;+42° 36′ 48.1″;41.2
Gliese 675;;K0V;6.44;5.9;17h 25m 00.59s;+67° 18′ 24.1″;41.7
Gliese 688;A;K3V;6.53;6.38;17h 39m 16.92s;+03° 33′ 18.9″;35.9
Gliese 86;A;K0V;6.12;5.93;02h 10m 22.07s;−50° 49′ 25.4″;35.6
Gliese 902;;K3V;7.09;6.81;23h 39m 36.83s;−72° 43′ 19.8″;37.2
HR 3384;;G9V;6.38;5.95;08h 32m 52.91s;−31° 30′ 03.1″;39.8
HR 511;;K0V;5.63;5.64;01h 47m 44.83s;+63° 51′ 09.0″;32.8
HR 5256;;K3V;6.49;6.47;13h 57m 32.06s;+61° 29′ 34.3″;33
HR 5553;A/B;K2V;6;5.69;14h 53m 23.77s;+19° 09′ 10.1″;37.6
HR 6806;;K2V;6.38;6.15;18h 09m 37.42s;+38° 27′ 28.0″;36
HR 9038;A;K3V;6.36;6.19;23h 52m 25.32s;+75° 32′ 40.5″;35.2
Pollux;;K0IIIb;1.16;1.09;07h 45m 18.95s;+28° 01′ 34.3″;33.7
V538 Aurigae;;K1Ve;6.21;5.77;05h 41m 20.33s;+53° 28′ 51.8″;39.9
Wolf 635;A;K7 V;7.7;7.54;17h 05m 04.47s;−05° 03′ 59.4″;35.1
α Mensae;;G5V;5.08;5.05;06h 10m 13.93s;−74° 45′ 11.0″;33.1
β Trianguli Australis;A;F2III;2.83;2.38;15h 55m 08.92s;−63° 25′ 50.6″;40.1
β Virginis;;F8V;3.59;3.4;11h 50m 41.72s;+01° 45′ 53.0″;35.6
γ Serpentis;;F6V;3.85;3.62;15h 56m 27.18s;+15° 39′ 41.8″;36.3
γ Virginis;A;F0V;3.46;3.1;12h 41m 40.36s;−01° 26′ 57.7″;38.6
γ Virginis;B;F0V;3.52;3.16;12h 41m 40.36s;−01° 26′ 57.7″;38.6
δ Capricorni;A;A5IV;2.73−2.93;2.37;21h 47m 02.13s;−16° 07′ 38.2″;38.6
δ Trianguli;;G0V;4.84;4.66;02h 17m 03.23s;+34° 13′ 27.2″;35.4
